Timestamp,Age,Country,City,Sex,How do you commute? Check all that apply,How long is your commute?,How much of your time at work is spent sitting?,How satisfied are you with your quality of sleep?,In which position do you normally sleep?,How would you rate your level of physical activity?,"Do you use a fitness tracking device? (Fitbit, Apple Watch, Pebble, etc)",Please rate your general posture.,Are you concerned are you about your posture?,Do you have frequent back pain?,How severe is the pain? (leave blank if not applicable),Where do you experience the pain?,When do you experience the pain? Check all that apply.,If you have sought medical treatment for the pain please check all that apply.,What do you like least about finding back pain relief?
2019/10/14 12:01:24 PM EST,22,United States,Lynchburg,Male,Drive a car,10 - 29 minutes,< 25%,Neutral,On your side,Active (some form of exercise 3 - 4 days per week),No,2,"Probably, but I likely wouldn't do anything about it.",3,2,Lower back,While standing;While moving;While sedentary,"Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/14 9:28:10 PM EST,24,United States,Saint Louis,Male,Walk,10 - 29 minutes,75% - 100%,Satisfied,On your stomach,Athletic (daily exercise),No,3,"Probably, but I likely wouldn't do anything about it.",4,3,Upper back / shoulders,While sedentary;While sleeping,"Taken ""over the counter"" pain medication;Used CBD products",Lack of access to cost effective treatment
2019/10/15 5:51:26 AM EST,20,Spain,Madrid,Female,Walk;Use public transportation,30 - 45 minutes,50% - 75%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,2,No,2,2,Upper back / shoulders,While moving;While sedentary,Not Applicable,I havenÃÂ´t sought back pain relief
2019/10/15 9:24:55 AM EST,26,USA,Toledo,Female,Drive a car,10 - 29 minutes,50% - 75%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,No,2,2,Upper back / shoulders,While standing;While sedentary,Not Applicable,Unsure what to do or where to begin
2019/10/15 9:33:24 AM EST,57,USA,Palos Verdes Estates,Male,Drive a car,10 - 29 minutes,25% - 50%,Neutral,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,4,No,3,2,Lower back,While standing,Used homeopathic remedies,Doing frequent exercises / stretches
2019/10/15 9:35:49 AM EST,29,USA,Fort Myers,Female,Drive a car,30 - 45 minutes,50% - 75%,Dissatisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),Yes,4,No,5,5,Lower back,While moving;While sedentary,"Visited a physician or doctor;Visited a physical therapist;Taken ""over the counter"" pain medication;Used homeopathic remedies",Treatment is inconvenient and time consuming
2019/10/15 9:44:38 AM EST,30,United States,,Female,Drive a car,> 45 minutes,75% - 100%,Satisfied,On your back,Minimal (walking to and from the car/bus each day),Yes,3,Yes,4,3,Upper back / shoulders;Base of the neck;Lower back,While moving;While sleeping,"Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor;Taken prescription pain medication;Taken ""over the counter"" pain medication",Lack of professional knowledge
2019/10/15 9:59:20 AM EST,56,usa,,Male,Drive a car,< 10 minutes,75% - 100%,Neutral,On your side,Minimal (walking to and from the car/bus each day),No,3,No,3,3,Lower back,While standing,Visited a physician or doctor,Lack of access to cost effective treatment
2019/10/15 10:22:03 AM EST,21,United States,Southfield,Female,Walk;Bike,< 10 minutes,75% - 100%,Dissatisfied,On your side,Minimal (walking to and from the car/bus each day),No,3,Yes,2,2,Upper back / shoulders;Lower back,While standing;While sedentary,"Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/15 10:36:06 AM EST,48,United States,Fort Myers,Female,Drive a car,10 - 29 minutes,75% - 100%,Dissatisfied,On your back,Moderate (some form of exercise 1 - 2 days per week),No,2,Yes,3,2,Upper back / shoulders;Base of the neck,While standing;While sedentary,Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor,"There is virtually no treatment that corrects the root cause and offers lasting, sustainable solution "
